Cue,Target,AFS,AFP,AFSS,FSG,COS,BOI,Concrete,SUBTLEX,AoA,Length,QSS,n,n.affordance,affordance_count
blowtorch,burn,0.160714286,0.333333333,29,NA,NA,5.541666667,4.93,1.6435,9.94,9,NA,27,24,54
blueberry,eat,0.247311828,0.793103448,34,NA,0.032434252,6,4.96,2.1206,6.22,9,10,29,27,92
bluefish,eat,0.246753247,0.703703704,30,NA,NA,4.48,4.79,0.9542,8.76,8,NA,27,26,78
blueprint,plan,0.204081633,0.4,28,0.146,NA,4.833333333,4.77,1.8062,9.39,9,20,25,23,43
boa,wear,0.133333333,0.25,36,NA,NA,4.333333333,4.92,1.8261,9.56,3,NA,32,22,56
board,write,0.128205128,0.37037037,47,NA,NA,4.48,4.57,3.5149,6.37,5,21,27,24,76
boardinghouse,live,0.173913043,0.307692308,25,NA,NA,4.565217391,4.5,0.8451,10.95,13,NA,26,21,51
boat,fish,0.120879121,0.44,49,0.016,0.340368619,5.130434783,4.93,3.689,3.84,4,16,25,20,73
boathouse,store,0.226190476,0.575757576,46,NA,NA,4.52173913,4.78,1.6021,10.21,9,NA,33,29,80
boatman,drive,0.115384615,0.222222222,32,NA,NA,4.76,4.73,NA,8.72,7,NA,27,25,52
bobsleigh,ride,0.1875,0.413793103,28,NA,NA,5.64,4.77,1.1139,8.69,9,NA,29,27,59
bodice,wear,0.325581395,0.538461538,24,NA,NA,4.80952381,4.78,1.0792,14.5,6,NA,26,22,43
body,walk,0.06504065,0.285714286,67,NA,NA,6.038461538,4.79,3.9988,4.28,4,31,28,24,117
