"Occurrences","Word","Length","Freq_HAL","Log_Freq_HAL","I_Zscore"
"1","cotton","6","5,698","8.648","-0.805"
"1","couch","5","4,971","8.511","-0.388"
"1","council","7","21,497","9.976","-0.439"
"1","councilman","10","82","4.407","0.057"
"1","councilwoman","12","20","2.996","0.507"
"1","counselor","9","1,876","7.537","-0.325"
"1","countrywoman","12","1","0.000","0.476"
"1","coupon","6","2,133","7.665","-0.560"
"1","courtyard","9","677","6.518","-0.412"
"1","cousin","6","4,073","8.312","-0.645"
"1","coverall","8","25","3.219","0.400"
"1","cow","3","7,262","8.890","-0.746"
"1","cowhide","7","28","3.332","0.087"
"1","cowskin","7","4","1.386","0.050"
"1","crab","4","980","6.888","-0.510"
"1","crabgrass","9","84","4.431","0.082"
"1","cracker","7","1,214","7.102","-0.592"
"1","cradle","6","1,231","7.116","-0.730"
"1","craftsman","9","469","6.151","-0.329"
"1","cranberry","9","325","5.784","-0.338"
