"cue","response","AFSS"
"astronaut","speculate",33
"astronaut","explore",33
"astronaut","engineer",33
"astronaut","fix",33
"athlete","compete",29
"athlete","race",29
"athlete","wear",29
"athlete","sponsor",29
"athlete","brand",29
"athlete","endorse",29
"athlete","sell",29
"athlete","market",29
"athlete","test",29
"athlete","enhance",29
"athlete","spectat",29
"athlete","train",29
"athlete","exercise",29
"athlete","run",29
"athlete","jump",29
"athlete","win",29
"athlete","eat",29
"athlete","rest",29
"athlete","speak",29
"athlete","encourage",29
"athlete","lose",29
"athlete","draw",29
"athlete","give",29
"athlete","injure",29
"athlete","fight",29
"athlete","job",29
"athlete","sleep",29
"athlete","swim",29
"athlete","watch",29
"atlas","read",11
"atlas","throw",11
"atlas","catch",11
"atlas","give",11
"atlas","navigate",11
"atlas","plan",11
"atlas","reflect",11
"atlas","rip",11
"atlas","shred",11
"atlas","fold",11
"atlas","map",11
"attendant","attend",19
"attendant","pay",19
"attendant","service",19
"attendant","take",19
"attendant","talk",19
"attendant","stand",19
"attendant","guard",19
"attendant","play",19
"attendant","care",19
"attendant","respect",19
"attendant","help",19
"attendant","listen",19
"attendant","ask",19
"attendant","fly",19
"attendant","attendant",19
"attendant","work",19
"attendant","hire",19
"attendant","fire",19
"attendant","dictate",19
"attire","wear",27
"attire","wash",27
"attire","dry",27
"attire","customize",27
"attire","change",27
"attire","sell",27
"attire","clean",27
"attire","look",27
"attire","touch",27
"attire","tear",27
"attire","buy",27
"attire","adjust",27
"attire","iron",27
"attire","fold",27
"attire","hang",27
"attire","lend",27
"attire","recycle",27
"attire","decorate",27
"attire","filter",27
"attire","warm",27
"attire","express",27
"attire","style",27
"attire","fashion",27
"attire","adhere",27
"attire","create",27
"attire","protect",27
"attire","safety",27
"attorney","speak",12
"attorney","advice",12
"attorney","drink",12
"attorney","hit",12
"attorney","handshake",12
"attorney","ask",12
"attorney","sue",12
"attorney","help",12
"attorney","hire",12
"attorney","fire",12
"attorney","learn",12
"attorney","guide",12
"auditorium","speech",13
